DDPG_small,DDPG_small_plus,DDPG_small_ultra,DDPG_medium,DDPG_medium_plus,DDPG_medium_ultra,DDPG_large,DDPG_large_plus,DDPG_large_ultra,MALA,fisher_MALA,rwm,NUTS_1c,NUTS_4c
0.1094,0.1074,0.10645,0.10645,0.10645,0.10645,0.10645,0.1074,0.1074,0.11816,0.11426,0.1094,0.10645,0.1084
0.1094,0.1074,0.1074,0.1074,0.10547,0.10645,0.10645,0.1074,0.1074,0.11816,0.11426,0.11035,0.10547,0.1084
0.1094,0.1084,0.1074,0.1074,0.10547,0.1074,0.1074,0.1074,0.1074,0.11816,0.1133,0.11035,0.10547,0.1074
0.1094,0.1074,0.1074,0.1074,0.10547,0.10645,0.10645,0.1074,0.1074,0.11816,0.1133,0.1094,0.10547,0.1084
0.1084,0.10645,0.1074,0.1074,0.10547,0.10645,0.10645,0.1074,0.1074,0.11816,0.1133,0.1094,0.10645,0.1084
0.1084,0.10645,0.1074,0.1074,0.10547,0.10645,0.10645,0.1074,0.1074,0.11816,0.1133,0.1094,0.10547,0.10645
0.1094,0.1074,0.1074,0.1074,0.10547,0.10645,0.10645,0.1074,0.1074,0.11816,0.1133,0.1084,0.10645,0.1074
0.1084,0.10645,0.1074,0.1074,0.10547,0.1074,0.1074,0.1074,0.1074,0.11816,0.1133,0.1094,0.10645,0.1074
0.1084,0.10645,0.1074,0.1074,0.10547,0.1074,0.10645,0.1074,0.10645,0.1172,0.1133,0.1094,0.1074,0.10645
0.1094,0.10645,0.10645,0.1074,0.10547,0.10645,0.1074,0.1074,0.10645,0.1172,0.1133,0.1094,0.10645,0.10645
0.1094,0.10645,0.1074,0.1074,0.10645,0.10645,0.1074,0.1074,0.10547,0.1162,0.1133,0.1094,0.10547,0.1074
0.1084,0.10645,0.10645,0.1074,0.10547,0.10645,0.1074,0.1074,0.10645,0.1162,0.11426,0.1084,0.10547,0.1074
0.1094,0.10645,0.10645,0.1074,0.10645,0.10645,0.1074,0.1074,0.10645,0.1162,0.1133,0.1084,0.10645,0.10645
0.1094,0.10645,0.10645,0.1074,0.10645,0.10645,0.1074,0.1074,0.10645,0.11426,0.1133,0.1084,0.10645,0.10645
0.1094,0.10645,0.10645,0.10645,0.10645,0.10645,0.1074,0.1074,0.10645,0.11426,0.1133,0.1084,0.10547,0.10645
0.1094,0.10645,0.10645,0.1074,0.10645,0.10547,0.1074,0.1074,0.10547,0.11426,0.1133,0.1084,0.10547,0.1074
0.1094,0.10645,0.10645,0.1074,0.10645,0.10547,0.1074,0.1074,0.1045,0.11426,0.1133,0.1084,0.10547,0.1074
0.1094,0.1074,0.10645,0.1074,0.10645,0.10645,0.1074,0.1074,0.10547,0.1133,0.1133,0.1084,0.10547,0.1074
0.1094,0.1074,0.10645,0.10645,0.10645,0.10645,0.1074,0.1084,0.10645,0.1133,0.1133,0.1084,0.10547,0.10547
0.1094,0.1074,0.1074,0.10645,0.10645,0.10645,0.1074,0.1084,0.10645,0.1123,0.1133,0.1084,0.10547,0.10645
0.1094,0.10645,0.1074,0.10645,0.10645,0.10645,0.1074,0.1084,0.10645,0.1123,0.1133,0.1084,0.10547,0.10645
0.1094,0.10645,0.1074,0.10645,0.10645,0.10547,0.1074,0.1084,0.10645,0.1123,0.1133,0.1084,0.10547,0.10645
0.1094,0.10645,0.10645,0.10645,0.1074,0.10547,0.1074,0.1084,0.10645,0.1123,0.1133,0.1084,0.10547,0.10645
0.1094,0.10645,0.10645,0.10645,0.1074,0.10547,0.1084,0.1084,0.10645,0.1123,0.1133,0.1084,0.10547,0.10645
0.1094,0.10645,0.10645,0.10645,0.10645,0.10645,0.1084,0.1084,0.10645,0.1123,0.1133,0.1084,0.10547,0.10645
0.1084,0.10645,0.10645,0.10645,0.10645,0.10645,0.1094,0.1084,0.10645,0.1123,0.11426,0.1084,0.10547,0.10645
0.1084,0.10645,0.10645,0.10645,0.10645,0.10645,0.1094,0.1084,0.10645,0.1123,0.11426,0.1094,0.10547,0.10547
0.1094,0.10645,0.10645,0.10645,0.10645,0.10645,0.1084,0.1084,0.10547,0.1123,0.11426,0.1084,0.10547,0.10645
0.1084,0.10645,0.10645,0.10645,0.10645,0.10645,0.1084,0.1084,0.10547,0.1123,0.11426,0.1084,0.10547,0.10645
0.1084,0.1074,0.10645,0.10645,0.10645,0.10645,0.1084,0.1084,0.10645,0.1123,0.11426,0.1084,0.10547,0.10645
0.1094,0.1074,0.10645,0.10645,0.10645,0.10645,0.1084,0.1084,0.10645,0.1123,0.11426,0.1084,0.10547,0.10645
0.1094,0.1074,0.10645,0.10645,0.10645,0.10645,0.1084,0.1084,0.10547,0.1123,0.11426,0.1084,0.10645,0.10645
0.1094,0.1074,0.10645,0.10547,0.10645,0.10645,0.1084,0.1074,0.10645,0.1123,0.11426,0.1094,0.10645,0.10645
0.1094,0.1074,0.10645,0.10645,0.10645,0.10645,0.1084,0.1074,0.10645,0.1113,0.11426,0.1084,0.10547,0.10547
0.1094,0.10645,0.10645,0.10645,0.10645,0.10645,0.1084,0.1074,0.10645,0.1113,0.11426,0.1084,0.10547,0.10645
0.1094,0.1074,0.10645,0.10645,0.10645,0.10645,0.1084,0.10645,0.10645,0.1113,0.11426,0.1094,0.10645,0.10645
0.1094,0.1074,0.10645,0.10547,0.10645,0.10645,0.1084,0.1074,0.10547,0.1123,0.11426,0.1094,0.10547,0.10645
0.1094,0.10645,0.10645,0.10645,0.10645,0.10645,0.1084,0.10645,0.10645,0.1123,0.11426,0.1084,0.10547,0.10645
0.1094,0.1074,0.10645,0.10645,0.10645,0.10645,0.1084,0.1074,0.10645,0.1123,0.11426,0.1084,0.10547,0.10645
0.1094,0.1074,0.10645,0.10547,0.10645,0.10645,0.1084,0.1074,0.10645,0.1123,0.11426,0.1084,0.10645,0.10645
0.1094,0.1074,0.10645,0.10547,0.10645,0.10645,0.1084,0.1074,0.10645,0.1123,0.11426,0.1094,0.10645,0.10645
0.1094,0.1074,0.10645,0.10547,0.10645,0.10645,0.1084,0.1074,0.10645,0.1123,0.11426,0.1084,0.10547,0.10645
0.1094,0.1074,0.10645,0.10547,0.10645,0.10645,0.1084,0.1074,0.10645,0.1123,0.11426,0.1074,0.10645,0.10645
0.1094,0.1074,0.10645,0.10645,0.10645,0.10645,0.1084,0.1074,0.10645,0.1123,0.11426,0.1074,0.10547,0.10645
